33,5,2025-07-29 06:30:00.000000,2025-07-29 16:00:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,1,1,2025-07-31 15:24:22
34,32,2025-06-20 20:00:00.000000,2025-06-21 17:00:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,1,1,2025-07-31 15:29:27
35,1,2025-08-03 13:30:00.000000,2025-08-04 18:00:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,2,1,2025-08-12 11:48:02
36,8,2025-08-05 07:00:00.000000,2025-08-05 15:00:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,2,1,2025-08-12 11:49:44
37,8,2025-08-11 08:00:00.000000,2025-08-11 16:30:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,2,1,2025-08-12 11:51:08
38,8,2025-08-11 07:30:00.000000,2025-08-11 17:00:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,5,1,2025-08-12 13:28:57
39,36,2025-08-12 05:00:00.000000,2025-08-12 18:30:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,3,1,2025-08-13 13:12:30
40,1,2025-08-13 07:00:00.000000,2025-08-15 18:30:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,2,1,2025-08-18 12:25:56
41,8,2025-08-20 07:00:00.000000,2025-08-20 16:00:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,2,1,2025-08-22 12:37:31
42,36,2025-08-21 07:00:00.000000,2025-08-21 19:00:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,2,1,2025-08-22 12:38:04
43,8,2025-08-05 07:00:00.000000,2025-08-05 15:00:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,1,1,2025-09-01 21:15:48
44,8,2025-08-11 08:00:00.000000,2025-08-11 16:30:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,1,1,2025-09-01 21:16:35
45,1,2025-08-13 07:00:00.000000,2025-08-15 18:30:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,1,1,2025-09-01 21:17:21
46,8,2025-08-20 07:00:00.000000,2025-08-20 16:00:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,1,1,2025-09-01 21:18:06
47,36,2025-08-21 07:00:00.000000,2025-08-21 19:00:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,1,1,2025-09-01 21:18:47
48,55,2025-09-10 06:00:00.000000,2025-09-10 17:30:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,5,1,2025-09-12 20:00:59
49,32,2025-09-12 04:30:00.000000,2025-09-12 14:30:00.000000,Concluída,Técnica,Cliente,IMPORTACAO,null,null,null,null,null,0,5,1,2025-09-12 20:02:08
